outcome,color
7,T
8,CT
13,CT
11,CT
13,CT
14,CT
3,T
6,T
2,T
5,T
4,T
4,T
11,CT
12,CT
10,CT
8,CT
8,CT
14,CT
12,CT
9,CT
2,T
13,CT
10,CT
14,CT
4,T
0,Bonus
0,Bonus
7,T
10,CT
1,T
3,T
3,T
1,T
7,T
3,T
3,T
2,T
7,T
8,CT
9,CT
0,Bonus
11,CT
13,CT
3,T
7,T
7,T
11,CT
5,T
8,CT
11,CT
9,CT
13,CT
14,CT
10,CT
13,CT
1,T
5,T
1,T
12,CT
12,CT
13,CT
5,T
12,CT
8,CT
7,T
7,T
4,T
5,T
0,Bonus
3,T
4,T
1,T
7,T
8,CT
12,CT
4,T
2,T
5,T
4,T
14,CT
10,CT
11,CT
0,Bonus
5,T
5,T
0,Bonus
5,T
10,CT
10,CT
0,Bonus
4,T
2,T
0,Bonus
8,CT
0,Bonus
5,T
1,T
4,T
13,CT
5,T
7,T
2,T
1,T
6,T
2,T
10,CT
0,Bonus
11,CT
13,CT
0,Bonus
6,T
2,T
14,CT
9,CT
4,T
0,Bonus
0,Bonus
2,T
12,CT
3,T
6,T
11,CT
8,CT
12,CT
9,CT
6,T
12,CT
13,CT
5,T
13,CT
9,CT
2,T
5,T
10,CT
1,T
7,T
9,CT
7,T
4,T
14,CT
14,CT
1,T
0,Bonus
13,CT
8,CT
8,CT
3,T
10,CT
7,T
6,T
13,CT
2,T
8,CT
12,CT
2,T
10,CT
6,T
6,T
0,Bonus
0,Bonus
12,CT
6,T
13,CT
5,T
11,CT
6,T
6,T
6,T
11,CT
3,T
7,T
6,T
0,Bonus
6,T
4,T
7,T
6,T
8,CT
8,CT
10,CT
11,CT
6,T
1,T
14,CT
2,T
9,CT
7,T
12,CT
0,Bonus
13,CT
1,T
5,T
2,T
12,CT
11,CT
10,CT
3,T
14,CT
2,T
8,CT
5,T
9,CT
3,T
4,T
12,CT
14,CT
11,CT
13,CT
14,CT
4,T
13,CT
9,CT
1,T
2,T
12,CT
8,CT
13,CT
4,T
9,CT
12,CT
0,Bonus
10,CT
0,Bonus
1,T
3,T
4,T
10,CT
10,CT
8,CT
4,T
11,CT
2,T
11,CT
6,T
2,T
4,T
4,T
5,T
11,CT
3,T
13,CT
14,CT
5,T
4,T
9,CT
6,T
10,CT
2,T
5,T
9,CT
10,CT
6,T
13,CT
12,CT
8,CT
12,CT
2,T
2,T
13,CT
2,T
7,T
11,CT
11,CT
10,CT
11,CT
6,T
8,CT
6,T
14,CT
2,T
4,T
14,CT
13,CT
8,CT
4,T
1,T
13,CT
12,CT
12,CT
1,T
0,Bonus
9,CT
3,T
13,CT
2,T
2,T
11,CT
10,CT
1,T
11,CT
7,T
4,T
1,T
8,CT
12,CT
6,T
10,CT
3,T
1,T
13,CT
13,CT
3,T
4,T
11,CT
6,T
0,Bonus
9,CT
0,Bonus
9,CT
2,T
1,T
5,T
12,CT
5,T
13,CT
14,CT
10,CT
3,T
4,T
10,CT
12,CT
8,CT
9,CT
8,CT
5,T
12,CT
0,Bonus
9,CT
0,Bonus
6,T
14,CT
3,T
1,T
4,T
11,CT
3,T
11,CT
13,CT
14,CT
2,T
7,T
9,CT
0,Bonus
2,T
6,T
7,T
13,CT
6,T
7,T
13,CT
3,T
4,T
10,CT
1,T
14,CT
5,T
14,CT
1,T
5,T
0,Bonus
12,CT
9,CT
13,CT
5,T
2,T
8,CT
8,CT
0,Bonus
9,CT
8,CT
5,T
0,Bonus
1,T
13,CT
8,CT
4,T
8,CT
2,T
7,T
6,T
2,T
12,CT
2,T
1,T
14,CT
4,T
2,T
2,T
11,CT
7,T
0,Bonus
14,CT
14,CT
1,T
13,CT
0,Bonus
6,T
8,CT
3,T
9,CT
3,T
13,CT
1,T
13,CT
0,Bonus
8,CT
6,T
12,CT
2,T
14,CT
13,CT
0,Bonus
2,T
5,T
9,CT
0,Bonus
7,T
5,T
1,T
13,CT
14,CT
8,CT
3,T
3,T
6,T
5,T
3,T
1,T
3,T
7,T
4,T
3,T
3,T
5,T
8,CT
12,CT
8,CT
7,T
13,CT
14,CT
12,CT
11,CT
10,CT
0,Bonus
3,T
1,T
0,Bonus
6,T
2,T
7,T
14,CT
4,T
9,CT
4,T
14,CT
2,T
4,T
11,CT
14,CT
11,CT
12,CT
0,Bonus
13,CT
0,Bonus
1,T
10,CT
9,CT
4,T
0,Bonus
5,T
0,Bonus
4,T
0,Bonus
1,T
2,T
0,Bonus
5,T
11,CT
9,CT
9,CT
12,CT
6,T
13,CT
0,Bonus
11,CT
9,CT
12,CT
12,CT
5,T
0,Bonus
13,CT
11,CT
6,T
9,CT
13,CT
12,CT
5,T
13,CT
13,CT
7,T
8,CT
1,T
3,T
0,Bonus
3,T
3,T
13,CT
1,T
13,CT
8,CT
7,T
7,T
10,CT
4,T
3,T
14,CT
0,Bonus
8,CT
12,CT
7,T
10,CT
10,CT
5,T
10,CT
8,CT
13,CT
1,T
14,CT
7,T
4,T
6,T
12,CT
4,T
1,T
14,CT
7,T
8,CT
7,T
9,CT
2,T
13,CT
6,T
9,CT
6,T
1,T
0,Bonus
1,T
0,Bonus
8,CT
3,T
6,T
9,CT
14,CT
2,T
14,CT
9,CT
0,Bonus
10,CT
4,T
4,T
11,CT
12,CT
9,CT
0,Bonus
2,T
6,T
3,T
8,CT
4,T
6,T
2,T
14,CT
12,CT
9,CT
11,CT
6,T
12,CT
11,CT
6,T
5,T
2,T
5,T
3,T
8,CT
0,Bonus
13,CT
1,T
8,CT
13,CT
7,T
9,CT
6,T
2,T
14,CT
12,CT
2,T
10,CT
4,T
11,CT
8,CT
10,CT
8,CT
12,CT
13,CT
0,Bonus
11,CT
0,Bonus
13,CT
7,T
1,T
4,T
13,CT
8,CT
14,CT
3,T
2,T
4,T
10,CT
9,CT
8,CT
10,CT
4,T
7,T
3,T
7,T
5,T
2,T
13,CT
6,T
0,Bonus
6,T
11,CT
8,CT
9,CT
4,T
9,CT
5,T
6,T
13,CT
1,T
8,CT
11,CT
10,CT
0,Bonus
3,T
7,T
9,CT
0,Bonus
8,CT
2,T
7,T
11,CT
2,T
13,CT
6,T
10,CT
4,T
7,T
12,CT
0,Bonus
6,T
9,CT
12,CT
3,T
10,CT
7,T
0,Bonus
3,T
13,CT
7,T
4,T
13,CT
5,T
9,CT
3,T
2,T
4,T
6,T
2,T
2,T
14,CT
11,CT
2,T
6,T
3,T
9,CT
11,CT
14,CT
5,T
5,T
7,T
7,T
7,T
10,CT
1,T
6,T
6,T
12,CT
4,T
11,CT
14,CT
0,Bonus
13,CT
11,CT
1,T
7,T
10,CT
10,CT
7,T
5,T
6,T
3,T
4,T
3,T
2,T
14,CT
4,T
5,T
6,T
7,T
13,CT
11,CT
2,T
0,Bonus
12,CT
2,T
1,T
7,T
9,CT
9,CT
0,Bonus
2,T
5,T
1,T
1,T
2,T
4,T
11,CT
10,CT
1,T
14,CT
12,CT
8,CT
7,T
11,CT
4,T
7,T
1,T
1,T
10,CT
11,CT
8,CT
5,T
12,CT
9,CT
13,CT
7,T
12,CT
11,CT
0,Bonus
1,T
5,T
11,CT
9,CT
7,T
11,CT
10,CT
3,T
6,T
3,T
4,T
4,T
10,CT
12,CT
6,T
13,CT
14,CT
7,T
10,CT
4,T
0,Bonus
13,CT
3,T
6,T
5,T
3,T
13,CT
13,CT
9,CT
7,T
6,T
9,CT
2,T
3,T
0,Bonus
6,T
0,Bonus
10,CT
4,T
11,CT
3,T
12,CT
10,CT
7,T
0,Bonus
6,T
8,CT
1,T
13,CT
8,CT
8,CT
5,T
14,CT
9,CT
9,CT
11,CT
5,T
1,T
11,CT
14,CT
5,T
3,T
4,T
13,CT
13,CT
9,CT
12,CT
2,T
6,T
11,CT
12,CT
10,CT
11,CT
4,T
8,CT
8,CT
8,CT
11,CT
4,T
5,T
10,CT
12,CT
5,T
10,CT
12,CT
10,CT
6,T
3,T
6,T
9,CT
7,T
14,CT
10,CT
8,CT
4,T
0,Bonus
3,T
6,T
11,CT
13,CT
4,T
13,CT
0,Bonus
11,CT
5,T
9,CT
11,CT
3,T
10,CT
14,CT
1,T
7,T
8,CT
5,T
4,T
14,CT
8,CT
4,T
9,CT
4,T
13,CT
7,T
9,CT
0,Bonus
0,Bonus
10,CT
1,T
1,T
4,T
3,T
6,T
3,T
12,CT
0,Bonus
5,T
10,CT
7,T
7,T
11,CT
5,T
9,CT
4,T
4,T
6,T
14,CT
8,CT
10,CT
1,T
5,T
10,CT
9,CT
11,CT
1,T
4,T
5,T
7,T
10,CT
11,CT
2,T
3,T
13,CT
3,T
12,CT
9,CT
5,T
9,CT
6,T
9,CT
0,Bonus
4,T
10,CT
13,CT
14,CT
4,T
12,CT
10,CT
6,T
3,T
5,T
8,CT
1,T
5,T
3,T
10,CT
4,T
1,T
10,CT
8,CT
5,T
10,CT
2,T
12,CT
0,Bonus
9,CT
3,T
1,T
0,Bonus
0,Bonus
2,T
13,CT
12,CT
9,CT
2,T
9,CT
0,Bonus
14,CT
1,T
14,CT
4,T
10,CT
8,CT
14,CT
2,T
8,CT
13,CT
8,CT
6,T
14,CT
4,T
3,T
10,CT
4,T
4,T
7,T
9,CT
6,T
2,T
3,T
7,T
2,T
5,T
11,CT
13,CT
10,CT
9,CT
8,CT
0,Bonus
8,CT
5,T
8,CT
2,T
11,CT
9,CT
0,Bonus
6,T
11,CT
12,CT
5,T
9,CT
4,T
10,CT
10,CT
12,CT
3,T
5,T
8,CT
14,CT
4,T
4,T
12,CT
8,CT
5,T
14,CT
13,CT
5,T
0,Bonus
2,T
12,CT
3,T
6,T
2,T
14,CT
2,T
8,CT
13,CT
13,CT
14,CT
7,T
7,T
5,T
9,CT
12,CT
4,T
11,CT
14,CT
1,T
4,T
14,CT
5,T
8,CT
3,T
7,T
7,T
12,CT
4,T
7,T
5,T
4,T
4,T
5,T
9,CT
11,CT
9,CT
1,T
0,Bonus
7,T
9,CT
4,T
7,T
1,T
4,T
10,CT
10,CT
8,CT
2,T
11,CT
6,T
2,T
0,Bonus
9,CT
3,T
5,T
13,CT
3,T
14,CT
2,T
11,CT
3,T
12,CT
5,T
8,CT
9,CT
5,T
6,T
10,CT
9,CT
8,CT
10,CT
2,T
14,CT
0,Bonus
13,CT
9,CT
0,Bonus
12,CT
8,CT
14,CT
6,T
7,T
0,Bonus
12,CT
2,T
1,T
0,Bonus
9,CT
5,T
4,T
2,T
3,T
1,T
6,T
0,Bonus
10,CT
11,CT
12,CT
7,T
0,Bonus
3,T
5,T
11,CT
7,T
8,CT
8,CT
11,CT
4,T
7,T
1,T
0,Bonus
4,T
2,T
0,Bonus
2,T
0,Bonus
1,T
12,CT
3,T
1,T
8,CT
3,T
7,T
14,CT
8,CT
4,T
2,T
12,CT
5,T
4,T
4,T
13,CT
8,CT
7,T
7,T
2,T
2,T
1,T
8,CT
1,T
5,T
9,CT
4,T
6,T
6,T
3,T
6,T
10,CT
4,T
2,T
12,CT
12,CT
2,T
13,CT
1,T
2,T
14,CT
14,CT
12,CT
3,T
14,CT
1,T
5,T
5,T
7,T
13,CT
5,T
6,T
1,T
8,CT
11,CT
1,T
6,T
11,CT
4,T
4,T
10,CT
3,T
5,T
1,T
11,CT
3,T
13,CT
11,CT
6,T
12,CT
9,CT
13,CT
13,CT
6,T
8,CT
14,CT
11,CT
2,T
3,T
4,T
0,Bonus
6,T
5,T
12,CT
4,T
14,CT
0,Bonus
0,Bonus
11,CT
5,T
2,T
4,T
13,CT
6,T
11,CT
3,T
7,T
9,CT
13,CT
9,CT
5,T
8,CT
9,CT
10,CT
14,CT
9,CT
5,T
10,CT
5,T
8,CT
1,T
8,CT
12,CT
7,T
6,T
11,CT
2,T
12,CT
13,CT
2,T
8,CT
8,CT
2,T
1,T
13,CT
7,T
14,CT
7,T
0,Bonus
2,T
0,Bonus
3,T
7,T
10,CT
12,CT
12,CT
9,CT
11,CT
5,T
6,T
1,T
10,CT
11,CT
2,T
2,T
5,T
5,T
0,Bonus
10,CT
8,CT
0,Bonus
14,CT
10,CT
12,CT
11,CT
4,T
12,CT
2,T
8,CT
9,CT
14,CT
5,T
2,T
0,Bonus
6,T
0,Bonus
1,T
2,T
3,T
10,CT
1,T
7,T
4,T
9,CT
9,CT
9,CT
5,T
7,T
6,T
8,CT
4,T
12,CT
6,T
1,T
8,CT
12,CT
7,T
1,T
11,CT
4,T
13,CT
2,T
13,CT
0,Bonus
5,T
8,CT
3,T
4,T
14,CT
8,CT
10,CT
2,T
7,T
12,CT
7,T
4,T
4,T
14,CT
8,CT
7,T
0,Bonus
11,CT
10,CT
3,T
4,T
0,Bonus
2,T
3,T
9,CT
8,CT
3,T
2,T
14,CT
6,T
3,T
14,CT
5,T
10,CT
12,CT
7,T
2,T
8,CT
13,CT
9,CT
7,T
11,CT
8,CT
5,T
3,T
7,T
1,T
12,CT
3,T
7,T
1,T
6,T
14,CT
14,CT
0,Bonus
10,CT
0,Bonus
12,CT
13,CT
1,T
4,T
9,CT
10,CT
1,T
0,Bonus
11,CT
4,T
3,T
1,T
2,T
9,CT
3,T
10,CT
1,T
13,CT
8,CT
9,CT
13,CT
3,T
6,T
7,T
1,T
7,T
3,T
8,CT
7,T
11,CT
1,T
5,T
6,T
13,CT
7,T
12,CT
5,T
6,T
10,CT
13,CT
14,CT
14,CT
10,CT
14,CT
12,CT
12,CT
9,CT
2,T
13,CT
8,CT
10,CT
6,T
9,CT
10,CT
4,T
3,T
14,CT
5,T
0,Bonus
7,T
11,CT
0,Bonus
9,CT
1,T
4,T
13,CT
6,T
4,T
9,CT
4,T
8,CT
1,T
0,Bonus
1,T
8,CT
8,CT
4,T
7,T
6,T
2,T
9,CT
7,T
2,T
10,CT
12,CT
7,T
14,CT
13,CT
12,CT
12,CT
3,T
2,T
11,CT
9,CT
7,T
0,Bonus
5,T
14,CT
11,CT
14,CT
8,CT
13,CT
1,T
11,CT
7,T
6,T
3,T
6,T
0,Bonus
2,T
14,CT
9,CT
5,T
6,T
0,Bonus
9,CT
2,T
13,CT
2,T
11,CT
0,Bonus
2,T
4,T
12,CT
7,T
4,T
11,CT
9,CT
4,T
9,CT
6,T
9,CT
11,CT
7,T
1,T
2,T
1,T
6,T
9,CT
4,T
0,Bonus
3,T
6,T
8,CT
6,T
13,CT
11,CT
13,CT
8,CT
5,T
13,CT
9,CT
8,CT
8,CT
6,T
3,T
1,T
1,T
4,T
3,T
13,CT
2,T
5,T
5,T
13,CT
7,T
1,T
0,Bonus
4,T
5,T
0,Bonus
13,CT
2,T
10,CT
14,CT
4,T
13,CT
5,T
14,CT
10,CT
2,T
1,T
11,CT
1,T
5,T
1,T
2,T
7,T
7,T
9,CT
8,CT
0,Bonus
8,CT
6,T
4,T
1,T
5,T
0,Bonus
12,CT
11,CT
7,T
5,T
13,CT
14,CT
9,CT
5,T
13,CT
0,Bonus
4,T
1,T
4,T
1,T
12,CT
12,CT
12,CT
0,Bonus
6,T
8,CT
13,CT
10,CT
3,T
8,CT
1,T
2,T
10,CT
5,T
13,CT
12,CT
1,T
7,T
4,T
7,T
2,T
11,CT
10,CT
13,CT
6,T
8,CT
3,T
14,CT
8,CT
7,T
14,CT
0,Bonus
2,T
7,T
5,T
12,CT
10,CT
10,CT
7,T
10,CT
9,CT
11,CT
3,T
10,CT
13,CT
11,CT
9,CT
9,CT
7,T
11,CT
9,CT
4,T
12,CT
5,T
4,T
0,Bonus
2,T
2,T
2,T
6,T
0,Bonus
8,CT
3,T
8,CT
11,CT
2,T
5,T
14,CT
2,T
2,T
3,T
0,Bonus
0,Bonus
0,Bonus
9,CT
5,T
1,T
12,CT
13,CT
1,T
1,T
5,T
0,Bonus
2,T
4,T
12,CT
7,T
4,T
1,T
5,T
4,T
5,T
12,CT
4,T
13,CT
14,CT
0,Bonus
1,T
10,CT
14,CT
8,CT
14,CT
3,T
6,T
12,CT
7,T
2,T
10,CT
11,CT
13,CT
9,CT
7,T
14,CT
4,T
7,T
12,CT
14,CT
0,Bonus
5,T
7,T
4,T
0,Bonus
11,CT
1,T
11,CT
12,CT
9,CT
9,CT
1,T
6,T
13,CT
3,T
10,CT
6,T
5,T
14,CT
11,CT
9,CT
4,T
7,T
7,T
14,CT
0,Bonus
9,CT
5,T
11,CT
10,CT
14,CT
2,T
12,CT
14,CT
6,T
7,T
11,CT
4,T
10,CT
0,Bonus
11,CT
5,T
5,T
12,CT
9,CT
8,CT
5,T
6,T
7,T
13,CT
10,CT
7,T
5,T
0,Bonus
7,T
3,T
3,T
8,CT
10,CT
6,T
11,CT
14,CT
9,CT
14,CT
10,CT
6,T
13,CT
4,T
10,CT
12,CT
11,CT
12,CT
13,CT
11,CT
3,T
14,CT
9,CT
